speechID|speech|speakerID|date|num_order_within_file|file|line_start|line_end|page|char count|word count|state|name|chamber|district|party
10419950016968|Mr. Chairman, I demand a recorded vote A recorded vote was ordered. The vote was taken by electronic device, and there were--ayes 202, noes 220, not voting 11, as follows:|104110|950308|76|Hcr08mr95-80 1.txt|955|958|H2864-H2872|75|13|GA|John Linder|H|4|R
10419950017464|Mr. Chairman, I yield 1\1/2\ minutes to the gentleman from California [Mr. Brown].|104325|950309|157|Hcr09mr95-66 1.txt|3426|3867|H2923-H2940|171|30|OR|Elizabeth Furse|H|1|D
10419950018267|Mr. Chairman, will the gentleman yield?|104248|950315|1|Hcr15mr95-52 1.txt|18|32|H3161|833|136|NJ|Robert Torricelli|H|9|D
10419950018825|The Chair will entertain fifteen 1-minutes on each side.|104114|950315|144|Hcr15mr95-76 1.txt|3372|3384|H3227-H3272|807|149|GA|Saxby Chambliss|H|8|R
10419950019108|Mr. Dornan, let me just thank you for all your hard work on this, and the reason we got so involved in this, it is so offensive to anyone that has ever worn the uniform of the United States services. The fact that this man that said one time that he did not like the military and now he is trying to hide behind the service of the military is incredible. So I just want to thank you, and the Speaker signing that letter now makes, and I thank we are waiting for one person to call in from the airport that we somehow happened to miss, but that is 236.|104133|950315|427|Hcr15mr95-76 1.txt|8987|9020|H3227-H3272|2107|377|IL|Jerry F. Costello|H|12|D
10419950019240|Mr. Chairman, I move to strike the last word Mr. Chairman, although I anticipate much partisanship in the debate over H.R. 3322, I want to point out that the National Science Foundation enjoys strong bipartisan support. I want to thank Basic Research Subcommittee Chairman Schiff for the professional, nonpartisan manner in which he has conducted himself on all matters within Basic Research's jurisdiction, including the NSF. On the NSF budget generally, I hope that we will continue to maintain our history of bipartisan advocacy. The support that NSF provides in meeting a wide variety of challenges in math, science, and engineering education cannot be overstated. In my region, both Carnegie-Mellon University and the University of Pittsburgh rely heavily on NSF support to conduct important research in a number of areas. What concerns me enough to rise at this point, is the future of NSF's Supercomputing Program. The Basic Research Subcommittee has held two hearings relating to the Supercomputing Program, one on the high performance computing and communications initiative in general, and one on NSF's decision to recompete its Supercomputing Program. The common theme in these two hearings was that we are letting funding issues compromise the integrity of what has been recognized by Members in both parties as a model program. What especially disturbs me is NSF's decision to ``recompete'' its leading edge centers based upon the findings of the Hayes Report. The Hayes Report found that there needed to be greater emphasis placed on regional computing centers in order to ease the extreme burden being placed on the four leading-edge centers. I agree that the best way to help meet the demands for user time at the leading-edge centers is to increase the capabilities of the regional centers. If there are projects that require less capacity, or the merits of larger projects can be initially judged at the regional centers, then we should pursue it. What troubles me is that the only way anyone has chosen to enhance the regional centers is at the expense of the leading-edge centers. In other words, NSF has decided that the way to solve one problem is to create another, potentially more serious problem. We are confronted with a situation where, in order to enhance the ability to access a valuable research tool, we are going to reduce that tool's capacity. I know that this situation is of concern to Members on both sides of the aisle. During the hearing on the Supercomputing Program there were many Members in both parties who said that if money was the only force driving the downsizing of leading-edge centers, then we should find the money elsewhere and not deconstruct one of our Government's greatest success stories. I do not take issue with formalizing the relationships between leading-edge and regional facilities through the proposed partnership centers. However, witnesses at our hearing seemed quite clear that there was nothing about the reorganization that was leading to a potential downsizing of leading-edge centers. Rather, it was budgetary concerns that were driving this process. In response to a question posed by Congressman Boehlert, Dr. Ed Hayes, chairman of the task force on the Future of NSF Supercomputing Centers, stated: Later, in response to a question I posed about why we were considering downsizing centers that were over subscribed, Dr. Hayes said: Despite the assertions of NSF that funding is not the issue here, our committee's hearing record seems to indicate otherwise. Rather, it seems to me that the recompetition is based upon NSF trying to predict future funding decisions by the Congress. In this case, it seems like the analysis of the task force was done correctly, but they then went beyond the scope of their mission by presupposing future funding decisions by Congress. My admonition to the NSF is not to base policy decisions by guessing how the Science Committee is going to act. As we just witnessed with the Schiff amendment, preordained authorization caps have a way of changing around here. If current funding for the Supercomputing Program is not sufficient to keep the United States as a world leader in high- speed computing, let us know, and we will act accordingly. I do not intend to offer an amendment at this point. But I do want to put the NSF on notice that there are many Members of Congress who are watching the recompetition with a watchful eye, and are not necessarily pleased with what they have seen so far.|104900|950316|95|Hcr16mr95-67 1.txt|1183|1184|H3281-H3303|57|8|NA|Speaker|NA|NA|N/A
10419950019526|Mr. Speaker, I would simply like to observe that this seems to me to be nothing but a blatantly political act. The question is not what the President has said he will or will not do. I hope he will provide ample opportunity for Wisconsin to get what it is asking for, after he has met his responsibilities and we have met ours, to understand what it is we are helping to support. But as I understand it, the legislation to be brought before the Congress has nothing to do with the President. It simply provides a congressional waiver without, at this point to my knowledge, a single Member of the House having read what it is that is supposed to be waived.|104541|950316|9|Hcr16mr95-83 1.txt|492|541|H3318-H3325|3208|574|CA|Walter Tucker|H|37|D
10419950019875|Pursuant to clause 2 of rule XXIII, the Chair may reduce to a minimum of 5 minutes the period of time for any vote by electronic device, if ordered, on the pending amendment. The vote was taken by electronic device, and there were--ayes 142, noes 271, not voting 21, as follows: Messrs. HOLDEN, SMITH of Michigan, MASCARA, BORSKI, COYNE, and BLUMENAUER changed their vote from ``aye'' to ``no.''|104900|950321|1|Hcr21mr95-52 1.txt|14|49|H3333-H3334|1509|237|NA|Speaker|NA|NA|N/A
10419950020433|That is right, but we----|104900|950323|14|Hcr23mr95-107 1.txt|40|41|H3710-H3711|45|9|NA|Speaker|NA|NA|N/A
10419950020634|The time of the gentleman from Indiana [Mr. Burton] has expired.|104007|950323|1|Hcr23mr95-70 1.txt|16|34|H3579|1092|187|AL|Earl F. Hilliard|H|7|D
10419950020965|Mr. Chairman, my colleague mentioned that there were a number of countries that had human rights violations that were getting our aid. I would like to say to my colleague, I have no objection whatsoever to him or any Member of this body proposing a cut in aid to any country that violates human rights, that violates women's rights, that gang rapes women and tortures people and throws them into rivers with their hands bound, and gagged. I think that those kinds of countries should be penalized. We should hold them up to public scrutiny throughout the world. When we talk about Egypt torturing people, I will support the gentleman's amendment if he wants to cut some of their aid.|104320|950323|315|Hcr23mr95-87 1.txt|3567|3572|H3581-H3631|281|55|OK|Thomas A. Coburn|H|2|R
10419950021345|Mr. Speaker, if I told you that you owed me $50 a month for 30 years would you pay it if you did not have to? If you answer yes, I have some private mortgage home insurance [PMI] for you. But if no is your answer, then why are thousands of people doing it? Private mortgage insurance [PMI] is to provide lenders--or the ultimate purchaser of a loan--protection against a home owner's non- payment. The insurance typically insures a percentage of any potential loss. The majority of people buying homes nowadays put down less than the traditional 20 percent of the home purchase price. As a result, many of these homeowners have accepted the fact that they have to commit a part of their monthly home mortgage payment--typically $50 to $90 to pay for mortgage insurance. The problem arises when the homeowner overpays private mortgage insurance; can't cancel the PMI; or is not told that they have the right to cancel it. It is not a new problem, but one that has made many servicers and insurers rich. It has been going on for years. What makes private mortgage insurance even more sinister is that those who are mostly taken by it are the ones that need the money most, once they are not required to pay it. Nineteen years ago, a secretary in Dallas, TX, purchased her home for $26,000. She financed $22,950 and was required to purchase private mortgage insurance [PMI], which is required as a condition of making a loan to a homeowner with less than 20 to 25 percent down on a home. At no time was she told that she had a right to cancel the mortgage insurance. Over 19 years later, she and her husband are still paying PMI. Why? Her current loan to value ratio is almost 90 percent, which means that her debt is 10 percent of the value of her home. Her home mortgage servicer continues to charge these premiums every month even though it knows that the PMI is unnecessary when it passes a certain amount. In fact, her home mortgage servicer has been charging her for PMI, even though the owner of her home mortgage requires zero insurance. Moreover, she has been required to overinsure her home mortgage for years. As the investor's insurance requirement decreased, her servicer continued to keep the original coverage amount in place. So, she has been a victim of paying insurance for too long. Her servicer has been overinsuring her home loan, and failing to cancel the insurance when it knew she had the right to, and failed to even tell her that she could insist on the cancellation of the insurance. She is not alone. The above example is just one of the 315,000 homeowners that her lender services. Her lender, even at the more conservative fee of $50 a month for PMI, could theoretically collect tens of millions of dollars a year in PMI charges for the home mortgages it holds. It is time that we stop the scam. It is time to stop sticking it to hardworking homeowners. I have introduced H.R. 3556 that will correct this problem and will: First, require the lender or person making or arranging the loan to disclose to the homeowner that PMI is and how it can be canceled and second, provide the homeowner with the right to cancel PMI. If the borrower has met the mortgage owners requirements for cancellation, ie., a good payment history and if once the equity in the property has reached or exceeded 20 percent of the original appraised value of home. This bill will continue to protect mortgage lenders, insurers and mortgage servicers, while at the same time protecting thousands of people throughout the United States who have PMI long after all requirements for release are met.|104900|950324|1|Hcr24mr95-115 1.txt|12|14|H3795|107|18|NA|Speaker|NA|NA|N/A
10419950022833|Mr. Chairman, I yield 3 minutes to the gentlewoman from Florida [Mrs. Meek].|104371|950403|1|Hcr03ap95-54 1.txt|18|31|H4043|811|135|TX|Sam Johnson|H|3|R
10419950023220|Mr. Speaker, I yield 2 minutes to the gentleman from Texas [Mr. Stockman].|104053|950404|14|Hcr04ap95-128 1.txt|42|42|H4142|36|5|CA|Maxine Waters|H|35|D
10419950023274|Mr. Speaker, I rise today to join Senator Barbara Boxer in introducing legislation to improve our transportation infrastructure along the United States border with Mexico. The border area has become a popular campaign stop for those who publicly attack decades of Federal neglect along the border, but who propose few solutions to the problem. Senator Boxer and I have a solution. This bill would provide critical Federal funding for border improvements without affecting Federal highway assistance to our border States. It will keep our border cities and States from having to absorb the costs of building the roads, bridges, railroads, and highways needed to implement Federal trade policy. The $500 million border infrastructure fund which would be established by our legislation would pay for construction and improvements to the area infrastructure. Our bill would also authorize a Federal loan program to reopen what we in San Diego call the jobs train--the San Diego &amp; Arizona Eastern Railroad. With direct rail connections to the east, the Port of San Diego can become the center of commercial activity and we can transform the economy of this entire region. American investment in roads, highways, airports, seaports, and railroads have been responsible for creating the most advanced and efficient economy in the history of the world. Business leaders and elected officials remain united in the belief that improving our transportation infrastructure is the key to growing our economy. When Congress approved NAFTA, we all knew that ensuring its success would require that all parties provide the necessary infrastructure to facilitate the flow of trade. We believed that inherent in the passage of this agreement was a commitment to build, repair, and maintain the physical infrastructure needed to implement the agreement; like State Route 905 and the jobs train in San Diego. Although this has not been the case, and the physical needs of the trade treaty still have not been addressed, this bill will make sure that the Federal Government meets this commitment. As a result of the passage of NAFTA, our country is now taking in increased custom duties, merchandise fees, and revenues from other commerce-related activities. Our proposal would direct that those funds, collected as a result of our increased trade, be reinvested into the roads, bridges, railways, harbors, and airports that support that trade. My own district has two unfunded NAFTA mandates that our local communities alone cannot address: completion of State Route 905 and revitalization of the San Diego &amp; Arizona Eastern rail line, the jobs train. State Route 905 serves as the only link connecting the Nation's second busiest southern commercial border crossing to the National Interstate Highway System. This road, however, is currently a four-lane city street. It was not intended to carry the additional border traffic that will soon be coming. And it was never intended to be a tool to implement international trade policy. I know this is also the case in numerous other border crossing communities. The jobs train rehabilitation would revitalize San Diego's rail link to the eastbound rail lines. Repairing and improving this now abandoned railroad would provide direct access to eastern markets for trade arriving through the Port of San Diego and the United States-Mexico border crossing. Our cities and States undergo a constant struggle to build and maintain their own infrastructure. They do not have sufficient funds to single-handedly complete projects which support Federal trade policy. Not funding these projects is the worst kind of unfunded mandate. The Federal Government must meet its responsibility. I encourage my colleagues to join me in this effort to provide this vital infrastructure to help our Nation take full advantage of the new global market.|104900|950404|2|Hcr04ap95-135 1.txt|29|30|H4143|64|11|NA|Speaker|NA|NA|N/A
10419950023878|Reclaiming my time, I had an opportunity, I wrote a good bill with the gentleman from California [Mr. Pombo] to solve this problem. But anybody who thinks the Endangered Species Act works, I would suggest he start reading it and seeing where this Government has gone out of whack, when they tell a woman she cannot take and raise grain on her ranch because there is a kangaroo rat. She stopped raising grain. The rats left because there was nothing to eat. It burned and burned the houses down in all the area. This is the act that Members support. I am terribly disappointed to support an Endangered Species Act that does not protect the species, does not take and protect the private landowners, in fact, allows this Government to run amok. I am saying, let us change it. That is what I am saying.|104410|950405|1|Hcr05ap95-98 1.txt|14|14|H4212-H4213|43|7|VA|James P. Moran|H|8|D
10419950026535|Mr. Speaker, I want to thank my friend, the gentleman from California [Mr. Stark] for yielding me this time. There is no dispute about the outrageous human rights violations in China. The government has silenced dissidents, and the Tiananmen Square episode could still occur today in China. The use of labor, slave labor, continues in China. In addition, China is responsible for nuclear proliferation, the proliferation of other weapons of mass destruction. There is no dispute about that. It is also clear that the conduct in China is financed because of access to the United States market. It is our consumers that are helping to finance the type of outrageous conduct within China. There is a lopsided balance of payment. We import $33 to $34 billion more products from China than we export ever year. The Jackson-Vanik provisions were expressly created in order to make it clear that access to the U.S. market is not automatic and that nonmarket economies that do not perform to a certain standard are denied access to our market. The United States has shown leadership before. It was the leadership of the United States to use trade sanctions in South Africa that brought down the apartheid practices of that country. It was the United States using the Jackson-Vanik provisions that changed the immigration policies of the Soviet Union. We have used trade policies in Uganda and Romania and other countries to bring about changes in those countries. When we exercise leadership, it is part of the proudest moments in the history of this country. Certainly there are naysayers, naysayers who have financial interests in continuing a relationship with China. We always hear that. But when we stand tall, we bring about change. The United States has done it before, we should do it in China, and I urge my colleagues to support this resolution to make it clear that access to the United States market in China must maintain a standard of acceptable conduct that they do not today.|104900|950515|167|Hcr15my95-64 1.txt|3091|3094|H4934-H4956|66|11|NA|Speaker|NA|NA|N/A
10419950028422|Pursuant to the order of the House of today, the gentleman from Colorado [Mr. Hefley] and a Member opposed will each control 2\1/2\ minutes. The Chair recognizes the gentleman from Colorado [Mr. Hefley].|104342|950523|16|Hcr23my95-76 1.txt|507|517|H5461-H5468|623|105|PA|Jon Fox|H|13|R
10419950029145|Under the Speaker's announced policy of May 12, 1995, the gentleman from California [Mr Rohrabacher] is recognized during morning business for 5 minutes.|104900|950607|1|Hcr07jn95-31 1.txt|16|19|H5625|108|20|NA|Speaker|NA|NA|N/A
10419950029973|Does the gentleman from New York [Mr. Solomon] wish to be heard in opposition to the point of order?|104900|950608|100|Hcr08jn95-137 1.txt|2094|2094|H5710-H5734|18|3|NA|Speaker|NA|NA|N/A
10419950030550|Madam Chairman, I thank my friend from Kansas, Mrs. Meyers, for yielding this time to me. I would like to offer my strong support for H.R. 3734, the Personal Responsibility Act. Welfare hurts people. It hurts those who receive it by creating a culture of dependency that crimps people's desire to benefit themselves and improve their own lives. American taxpayers are willing to help those who need it. But we have grown increasingly tired of footing the bill for those who will not help themselves. Perhaps the most fundamental requirement of America's immigration policy is that immigrants be self-reliant, not dependent on the American taxpayers for support. Since 1882, for over 100 years, those who are likely to become public charges or participate in the welfare system have been inadmissible to our country. Since 1917 noncitizens who become public charges after they enter the United States have, in fact, been subject to deportation. Many immigrants come to America for economic opportunity. In fact, most of them do. However, others come to live off the American taxpayer. Noncitizen welfare recipients of supplemental security income have increased 580 percent over the last 12 years. When all the major welfare programs are added together, studies show that immigrants receive $26 billion each year in welfare assistance. Now, should not those funds rather be going to needy American citizens? This bill complements the House immigration reform bill, H.R. 2202, which passed the House by a vote of 333 to 87. H.R. 2202 prevents illegal aliens from receiving public benefits, enforces the public charge exclusion and deportation provisions of current law and encourages immigrant sponsors to fulfill their financial obligations. It is critical for Congress to send both H.R. 3424 and H.R. 2202 to the President this year. The American people are depending on us to reform America's welfare and immigration policies. President Clinton, after promising to end welfare as we know it, has twice this year vetoed proposals to do just that. Let us hope the administration will finally keep its promise to the American people and sign this bill.|104176|950613|95|Hcr13jn95-88 1.txt|8490|8490|H5833-H5883|51|9|MD|Wayne T. Gilchrest|H|1|R
10419950031033|Mr. Chairman, I yield myself such time as I may consume I rise in opposition to the gentlewoman's amendment. This bill is different from the other 12 regular appropriations bills in that our bill appropriates all funds for the operations of the District government; all funds, not just Federal funds. That is the way the bill is designed. That is why the abortion language in section 129 of our bill restricts the use of all funds for abortions, except to save the mother's life or in cases of rape or incest. I think that is consistent with our appropriations policies. We are appropriating all funds for this bill. The abortion language in our bill this year is identical to the language in last year's bill which was signed by the President. It is also identical to the language in the continuing resolutions that the President signed last year. It is identical to the language in Public Law 104-69 that the President signed on December 22, 1995; to legislation that he signed on January 4, 1996; to legislation that he also signed on January 6, 1996, and to legislation he signed less than 3 months ago on April 26. While I appreciate the gentlewoman's feelings about home rule, the language in our bill does allow the use of funds for abortions in those cases where the life of the mother is endangered or in the case of rape or incest. I believe it is broad enough to give District officials the discretion they need so that the procedure is not misused. Mr. Chairman, as I mentioned just a moment ago, the President, less than 3 months ago, signed a bill with language identical to that found in section 129 of this bill. There is no reason for the President to not approve this language which, again, is identical to language he recently approved. I urge my colleagues to vote ``no'' on the amendment offered by the gentlewoman from the District of Columbia. Mr. Chairman, I reserve the balance of my time.|104388|950614|2|Hcr14jn95-89 1.txt|17|66|H5979|1423|253|TX|Henry B. Gonzalez|H|20|D
10419950035655|The gentleman from California [Mr. Cunningham] is recognized for 2 minutes.|104900|950630|41|Hcr30jn95-73 1.txt|704|710|H6661-H6675|218|34|NA|Speaker|NA|NA|N/A
